INFO 2025-08-03 05:27:04,045 autoreload 27401 8321664320 /Users/thulanimoyo/BIDR_Backend/inventory_service/categories/views.py changed, reloading.
INFO 2025-08-03 05:27:04,587 autoreload 28086 8321664320 Watching for file changes with StatReloader
INFO 2025-08-03 05:27:11,117 basehttp 28086 6170472448 "POST /api/v1/categories/categories/ HTTP/1.1" 201 641
INFO 2025-08-03 05:27:17,401 basehttp 28086 6170472448 "POST /api/v1/categories/categories/ HTTP/1.1" 201 637
INFO 2025-08-03 05:27:24,595 basehttp 28086 6170472448 "POST /api/v1/categories/categories/ HTTP/1.1" 201 744
INFO 2025-08-03 05:27:31,401 basehttp 28086 6170472448 "POST /api/v1/categories/attributes/ HTTP/1.1" 201 627
INFO 2025-08-03 05:27:37,254 basehttp 28086 6170472448 "GET /api/v1/categories/categories/ HTTP/1.1" 200 4074
INFO 2025-08-03 05:27:44,178 basehttp 28086 6170472448 "PUT /api/v1/categories/categories/6fa135dc-0615-45f4-b9d2-3a2ebb492ce6/ HTTP/1.1" 200 739
INFO 2025-08-03 05:27:51,518 basehttp 28086 6170472448 "PATCH /api/v1/categories/categories/644930bd-2cb6-484f-a6d7-41a88d811479/ HTTP/1.1" 200 2029
INFO 2025-08-03 05:27:57,253 basehttp 28086 6170472448 "GET /api/v1/categories/categories/e8fdddbe-bce8-4c57-97f5-d73f4c10d202/ HTTP/1.1" 200 1371
INFO 2025-08-03 05:28:01,661 basehttp 28086 6170472448 "GET /api/v1/categories/categories/?status=active&is_featured=true HTTP/1.1" 200 2821
INFO 2025-08-03 05:28:04,305 basehttp 28086 6170472448 "GET /admin/ HTTP/1.1" 200 17312
INFO 2025-08-03 05:28:04,326 basehttp 28086 6325039104 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
INFO 2025-08-03 05:28:04,326 basehttp 28086 6341865472 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-08-03 05:28:04,327 basehttp 28086 6358691840 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-08-03 05:28:04,327 basehttp 28086 6170472448 "GET /static/admin/css/base.css HTTP/1.1" 200 21544
INFO 2025-08-03 05:28:04,328 basehttp 28086 6392344576 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-08-03 05:28:04,329 basehttp 28086 6375518208 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
INFO 2025-08-03 05:28:04,329 basehttp 28086 6341865472 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-08-03 05:28:04,348 basehttp 28086 6170472448 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-08-03 05:28:04,349 basehttp 28086 6375518208 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-08-03 05:28:04,349 basehttp 28086 6341865472 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
WARNING 2025-08-03 05:28:04,374 log 28086 6341865472 Not Found: /favicon.ico
WARNING 2025-08-03 05:28:04,374 basehttp 28086 6341865472 "GET /favicon.ico HTTP/1.1" 404 3352
INFO 2025-08-03 05:28:06,102 basehttp 28086 6409170944 "GET /api/v1/categories/categories/?search=engine HTTP/1.1" 200 1423
INFO 2025-08-03 05:28:07,973 basehttp 28086 6170472448 "GET /admin/analytics/analyticsreport/ HTTP/1.1" 200 18458
INFO 2025-08-03 05:28:07,988 basehttp 28086 6170472448 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6811
INFO 2025-08-03 05:28:07,988 basehttp 28086 6358691840 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-08-03 05:28:07,989 basehttp 28086 6375518208 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-08-03 05:28:07,989 basehttp 28086 6392344576 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9042
INFO 2025-08-03 05:28:07,991 basehttp 28086 6341865472 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-08-03 05:28:07,991 basehttp 28086 6358691840 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-08-03 05:28:07,991 basehttp 28086 6375518208 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-08-03 05:28:07,991 basehttp 28086 6170472448 "GET /static/admin/js/actions.js HTTP/1.1" 200 8067
INFO 2025-08-03 05:28:07,992 basehttp 28086 6375518208 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-08-03 05:28:07,993 basehttp 28086 6325039104 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-03 05:28:07,994 basehttp 28086 6392344576 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-08-03 05:28:07,999 basehttp 28086 6392344576 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-08-03 05:28:08,013 basehttp 28086 6392344576 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-08-03 05:28:10,786 basehttp 28086 6392344576 "GET /admin/categories/category/ HTTP/1.1" 200 22715
INFO 2025-08-03 05:28:10,801 basehttp 28086 6392344576 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-03 05:28:10,802 basehttp 28086 6325039104 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-08-03 05:28:10,802 basehttp 28086 6375518208 "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2025-08-03 05:28:11,028 basehttp 28086 6409170944 "GET /api/v1/categories/attributes/ HTTP/1.1" 200 679
INFO 2025-08-03 05:28:17,536 basehttp 28086 6170472448 "POST /api/v1/categories/attributes/ HTTP/1.1" 201 543
